"","year_panel","country","wefji","iso3c","gdp","gini","lifeexpectancy","natres","ruralpop","tertiaryschool","p_expenditure","X","OS","PF","PI","RS","PFR_index"
"152",2014,"Peru","2.47045245410444","PER",201049665375.132,44.1,74.4853658536585,8.12221928939796,21.715,NA,4.84,306,0,0.5,0,0,0.0740740740740741
"153",2013,"Peru","2.53846130740741","PER",201217661645.509,44.7,74.2667804878049,9.1629911402858,22.046,NA,4.72,NA,0,0.5,0,0,0.0740740740740741
"154",2012,"Peru","2.48342330643275","PER",192648999090.082,45.1,74.0566829268293,11.0429339107701,22.384,NA,4.41,NA,0,0.5,0,0,0.0740740740740741
"155",2011,"Peru","2.61756085172414","PER",171761737046.585,45.5,73.8525365853659,13.1764549881036,22.731,NA,4.31,305,0,0.5,0,0,0.0740740740740741
"156",2010,"Peru","2.61352286571429","PER",147528937028.778,46.2,73.6513658536585,11.1018860775945,23.085,40.5127906799316,4.54,304,0,0.25,0,0,0.037037037037037
"157",2009,"Peru","2.85596350057803","PER",120822986521.479,48,73.4477073170732,8.15802270438586,23.448,NA,3.97,303,0,0.25,0,0,0.037037037037037
"158",2008,"Peru","2.72765608190683","PER",120550599815.441,48.5,73.2335609756098,11.320808502286,23.818,NA,2.52,302,0,0.25,0,0,0.037037037037037
"159",2007,"Peru","2.19332795190113","PER",102170981144.136,51.3,73.0019756097561,13.5010295902955,24.197,NA,2.26,301,0,0.25,0,0,0.037037037037037
"160",2006,"Peru","1.98834780414404","PER",88643193061.748,51.7,72.7459512195122,12.683522865814,24.579,34.3235092163086,2.06,300,0,0.25,0,0,0.037037037037037
"161",2015,"Uruguay","5.69395610584932","URY",53274304214.8174,41.7,77.1316341463415,1.64015539768757,4.68899999999999,55.5662689208984,1.23,373,1,0.666666666666667,0.266666666666667,1,0.586206896551724
"162",2014,"Uruguay","5.61423922002407","URY",57236013077.5187,41.6,76.9820975609756,1.61370507759663,4.848,56.3440399169922,1.39,372,1,0.666666666666667,0.266666666666667,1,0.586206896551724
"163",2013,"Uruguay","5.41578409075144","URY",57531233350.9101,41.9,76.8346585365854,1.25061666916551,5.017,55.123420715332,1.41,NA,1,0.666666666666667,0.266666666666667,1,0.586206896551724
"164",2012,"Uruguay","5.2231120404908","URY",51264390121.4144,41.3,76.6883658536585,1.21964365434541,5.197,NA,1.45,NA,1,0.666666666666667,0.266666666666667,1,0.586206896551724
"165",2011,"Uruguay","5.27590523229814","URY",47962439293.3697,43.4,76.5421951219512,1.38340334844941,5.38800000000001,NA,1.47,371,1,0.666666666666667,0.266666666666667,1,0.586206896551724
"166",2010,"Uruguay","5.26317868143713","URY",40284481661.8726,45.3,76.3961219512195,2.03231910489815,5.586,63.1337814331055,1.67,370,1,0.666666666666667,0.2,0.5,0.482758620689655
"167",2009,"Uruguay","5.19444698418079","URY",31660911290.3226,46.3,76.2500975609756,1.37147958254643,5.791,63.2354202270508,1.57,369,1,0.666666666666667,0.2,0.5,0.482758620689655
"168",2008,"Uruguay","5.03800168790181","URY",30366213095.4256,46.3,76.1015853658537,1.58250024315043,6.002,64.6052398681641,1.83,368,0,0.333333333333333,0,0.5,0.103448275862069
"169",2007,"Uruguay","4.83169300766284","URY",23410572621.533,47.6,75.9515365853659,1.28744497490898,6.221,63.7293701171875,1.55,367,0,0.333333333333333,0,0.5,0.103448275862069
"170",2006,"Uruguay","5.05025393299243","URY",19579457966.0538,47.2,75.7964146341464,1.09732571097856,6.447,46.0317802429199,1.41,366,0,0.333333333333333,0,0.5,0.103448275862069
"171",2015,"Venezuela","1.12768639326096","VEN",NA,NA,74.391512195122,NA,11.01,NA,NA,395,0.666666666666667,1,0.785714285714286,0.333333333333333,0.730769230769231
"172",2014,"Venezuela","1.11523713035635","VEN",NA,NA,74.2261463414634,NA,11.059,NA,6.14,394,0.666666666666667,1,0.785714285714286,0.333333333333333,0.730769230769231
"173",2013,"Venezuela","1.11323639354839","VEN",371006299120.244,NA,74.0704146341464,15.2530468508381,11.106,NA,5.53,NA,0.666666666666667,1,0.785714285714286,0.333333333333333,0.730769230769231
"174",2012,"Venezuela","1.27242112857143","VEN",381286237847.667,NA,73.926243902439,15.727311806848,11.149,NA,4.77,NA,0.666666666666667,1,0.785714285714286,0.333333333333333,0.730769230769231
"175",2011,"Venezuela","1.64902335662651","VEN",316482190800.364,NA,73.7941951219512,20.0312192134408,11.19,NA,6.46,393,0.666666666666667,1,0.785714285714286,0.333333333333333,0.730769230769231
"176",2010,"Venezuela","1.69231003783784","VEN",393190682070.491,NA,73.6751463414634,10.2057190790167,11.231,NA,2.85,392,0.5,0.666666666666667,0.428571428571429,0,0.423076923076923
"177",2009,"Venezuela","1.4463037375","VEN",329787628928.472,NA,73.571512195122,7.67791365181397,11.272,76.9795913696289,5.4,391,0.166666666666667,0.666666666666667,0.0714285714285714,0,0.153846153846154
"178",2008,"Venezuela","1.37709154243388","VEN",315953388510.678,NA,73.4782682926829,19.0028398012288,11.313,77.4573516845703,5.73,390,0.166666666666667,0.666666666666667,0.0714285714285714,0,0.153846153846154
"179",2007,"Venezuela","1.18810712164883","VEN",230364012575.687,NA,73.3904146341464,18.9862849410958,11.354,NA,5.79,389,0.166666666666667,0.666666666666667,0.0714285714285714,0,0.153846153846154
"180",2006,"Venezuela","1.23301708192797","VEN",183477522123.894,46.9,73.3020487804878,23.0930041046314,11.395,NA,6.69,388,0.166666666666667,0.666666666666667,0.0714285714285714,0,0.153846153846154
