"","year_panel","country","wefji","iso3c","gdp","gini","lifeexpectancy","natres","ruralpop","tertiaryschool","p_expenditure","X","OS","PF","PI","RS","PFR_index"
"21",2015,"Brazil","3.3804923873239","BRA",1803652649613.75,51.3,75.1991219512195,2.90939130336479,14.313,50.6049194335938,1.97,65,0.571428571428571,0.75,0.25,0.5,0.444444444444444
"22",2014,"Brazil","3.55315841282205","BRA",2455993200170,51.5,74.958243902439,4.0393979251106,14.567,49.2798385620117,1.69,64,0.571428571428571,0.75,0.25,0.5,0.444444444444444
"23",2013,"Brazil","3.8672258033195","BRA",2472806919901.67,52.9,74.6963414634146,4.48612429925947,14.829,46.4465789794922,1.54,NA,0.571428571428571,0.75,0.25,0.5,0.444444444444444
"24",2012,"Brazil","3.75062583628049","BRA",2465188674415.03,52.7,74.4104390243903,4.62050343612341,15.099,45.2390213012695,1.48,NA,0.571428571428571,0.75,0.25,0.5,0.444444444444444
"25",2011,"Brazil","3.73658582266289","BRA",2616201578192.25,53.1,74.100512195122,5.02956221521334,15.377,43.459831237793,1.45,63,0.571428571428571,0.75,0.25,0.5,0.444444444444444
"26",2010,"Brazil","3.52127593839542","BRA",2208871646202.82,NA,73.7695609756098,4.45122322030381,15.665,NA,2.48,62,0.571428571428571,0.75,0.25,0.5,0.444444444444444
"27",2009,"Brazil","3.58829993074792","BRA",1667019605881.76,53.9,73.4230975609756,3.07093778323872,15.956,37.0383987426758,1.19,61,0.428571428571429,0.5,0.166666666666667,0,0.259259259259259
"28",2008,"Brazil","3.81390715266439","BRA",1695824517395.57,54.4,73.0686585365854,6.07533875897866,16.251,35.5620994567871,1.12,60,0,0,0,0,0
"29",2007,"Brazil","3.14314623082095","BRA",1397084381901.29,55.2,72.7097317073171,5.61674035167837,16.552,30.7866897583008,1.2,59,0,0,0,0,0
"30",2006,"Brazil","2.90444399603754","BRA",1107640325472.35,55.9,72.3493414634146,4.88971531322896,16.857,NA,1.14,58,0,0,0,0,0
"31",2015,"Chile","5.03241282540856","CHL",242517905161.727,47.7,79.1606829268293,12.1958770529842,10.47,88.5772933959961,4.29,87,0.857142857142857,0.75,0.333333333333333,0.333333333333333,0.517241379310345
"32",2014,"Chile","5.21278802044939","CHL",260990299051.176,NA,78.9644878048781,14.9241445834559,10.644,86.6306991577148,3.82,86,0.857142857142857,0.75,0.333333333333333,0.333333333333333,0.517241379310345
"33",2013,"Chile","5.28876435","CHL",278384332694.359,47.3,78.7802682926829,15.2677021209209,10.825,83.8164367675781,3.66,NA,0.857142857142857,0.75,0.333333333333333,0.333333333333333,0.517241379310345
